"id","code","name","account_type","name@uz"
"uz0110","0110","Earth","asset_fixed","Ер"
"uz0111","0111","Land improvement","asset_fixed","Ерни ободонлаштириш"
"uz0112","0112","Improvement of financial leased fixed assets","asset_fixed","Молиявий ижарага олинган асосий воситаларни ободонлаштириш"
"uz0120","0120","Buildings, structures and transmission devices","asset_fixed","Бинолар, иншоотлар ва узатувчи мосламалар"
"uz0130","0130","Machines and tools","asset_fixed","Машина ва асбоб-ускуналар"
"uz0140","0140","Furniture and office equipment","asset_fixed","Мебель ва офис жиҳозлари"
"uz0150","0150","Computer equipment and computing equipment","asset_fixed","Компьютер жиҳозлари ва ҳисоблаш техникаси"
"uz0160","0160","Vehicles","asset_fixed","Транспорт воситалари"
"uz0170","0170","Working and productive animals","asset_fixed","Ишчи ва маҳсулдор ҳайвонлар"
"uz0180","0180","Perennial plants","asset_fixed","Кўп йиллик ўсимликлар"
"uz0190","0190","Other fixed assets","asset_fixed","Бошқа асосий воситалар"
"uz0199","0199","Conserved fixed assets","asset_fixed","Консервация қилинган асосий воситалар"
"uz0211","0211","Obsolescence of landscaping","asset_fixed","Ерни ободонлаштиришнинг эскириши"
"uz0212","0212","Depreciation of leased fixed assets","asset_fixed","Молиявий ижарага олинган асосий воситаларни ободонлаштиришнинг эскириши"
"uz0220","0220","Depreciation of buildings, structures and transmission equipment","asset_fixed","Бино, иншоот ва узатувчи мосламаларнинг эскириши"
"uz0230","0230","Depreciation of machinery and equipment","asset_fixed","Машина ва асбоб-ускуналарнинг эскириши"
"uz0240","0240","Depreciation of furniture and office equipment","asset_fixed","Мебель ва офис жиҳозларининг эскириши"
"uz0250","0250","Obsolescence of computer equipment and computing equipment","asset_fixed","Компьютер жиҳозлари ва ҳисоблаш техникасининг эскириши"
"uz0260","0260","Wear and tear of vehicles","asset_fixed","Транспорт воситаларининг эскириши"
"uz0270","0270","Aging of working animals","asset_fixed","Ишчи ҳайвонларнинг эскириши"
"uz0280","0280","The aging of perennial plants","asset_fixed","Кўп йиллик ўсимликларнинг эскириши"
"uz0290","0290","Depreciation of other fixed assets","asset_fixed","Бошқа асосий воситаларнинг эскириши"
"uz0299","0299","Depreciation of leased fixed assets","asset_fixed","Молиявий ижарага олинган асосий воситаларнинг эскириши"
"uz0310","0310","Financial leased fixed assets","asset_fixed","Молиявий ижарага олинган асосий воситалар"
"uz0410","0410","Patents, licenses and know-how","asset_fixed","Патентлар, лицензиялар ва ноу-хау"
"uz0420","0420","Trademarks, trademarks and industrial designs","asset_fixed","Савдо маркалари, товар белгилари ва саноат намуналари"
"uz0430","0430","Software","asset_fixed","Дастурий таъминот"
"uz0440","0440","Rights of use land and natural resources","asset_fixed","Ер ва табиат ресурсларидан фойдаланиш ҳуқуқлари"
"uz0460","0460","Franchising","asset_fixed","Франшизинг"
"uz0470","0470","Copyright","asset_fixed","Муаллифлик ҳуқуқлари"
"uz0480","0480","Goodwill","asset_fixed","Гудвилл"
"uz0490","0490","Other intangible assets","asset_fixed","Бошқа номоддий активлар"
"uz0510","0510","Amortization of patents, licenses and know-how","asset_non_current","Патентлар, лицензиялар ва ноу-хаунинг амортизацияси"
"uz0520","0520","Amortization of trademarks, trademarks and industrial designs","asset_non_current","Савдо маркалари, товар белгилари ва саноат намуналарининг амортизацияси"
"uz0530","0530","Amortization of software","asset_non_current","Дастурий таъминотнинг амортизацияси"
"uz0540","0540","Amortization of rights to use land and natural resources","asset_non_current","Ер ва табиат ресурсларидан фойдаланиш ҳуқуқларининг амортизацияси"
"uz0560","0560","Franchise depreciation","asset_non_current","Франшизинг амортизацияси"
"uz0570","0570","Amortization of copyright","asset_non_current","Муаллифлик ҳуқуқларининг амортизацияси"
"uz0590","0590","Depreciation of other intangible assets","asset_non_current","Бошқа номоддий активларнинг амортизацияси"
"uz0610","0610","Securities","asset_non_current","Қимматли қоғозлар"
"uz0620","0620","Investments in branch economic companies","asset_non_current","Шуъба хўжалик жамиятларига инвестициялар"
"uz0630","0630","Investments in dependent economic societies","asset_non_current","Қарам хўжалик жамиятларига инвестициялар"
"uz0640","0640","Investments in organizations with foreign capital participation","asset_non_current","Чет эл капитали иштирокидаги ташкилотларга инвестициялар"
"uz0690","0690","Other long-term investments","asset_non_current","Бошқа узоқ муддатли инвестициялар"
"uz0710","0710","The equipment to be installed is local","asset_non_current","Ўрнатиладиган асбоб-ускуналар — маҳаллий"
"uz0720","0720","The equipment to be installed is foreign","asset_non_current","Ўрнатиладиган асбоб-ускуналар — хорижий"
"uz0810","0810","Unfinished construction","asset_non_current","Тугалланмаган қурилиш"
"uz0820","0820","Purchase of basic equipment","asset_non_current","Асосий воситаларни харид қилиш"
"uz0830","0830","Purchase of intangible assets","asset_non_current","Номоддий активларни харид қилиш"
"uz0840","0840","Organization of the main herd","asset_non_current","Асосий подани ташкил қилиш"
"uz0850","0850","Capital investment in land improvement","asset_non_current","Ерни ободонлаштиришга капитал қўйилмалар"
"uz0860","0860","Capital investments in financial leased fixed assets","asset_non_current","Молиявий ижарага олинган асосий воситаларга капитал қўйилмалар"
"uz0870","0870","Capital investments in operating leased fixed assets","asset_non_current","Оператив ижарага олинган асосий воситаларга капитал қўйилмалар"
"uz0890","0890","Other capital investments","asset_non_current","Бошқа капитал қўйилмалар"
"uz0910","0910","Received bills","asset_non_current","Олинган векселлар"
"uz0920","0920","Financial lease payments","asset_non_current","Молиявий ижара бўйича олинадиган тўловлар"
"uz0930","0930","Long-term debts of employees","asset_non_current","Ходимларнинг узоқ муддатли қарзлари"
"uz0940","0940","Other long-term receivables","asset_non_current","Бошқа узоқ муддатли дебиторлик қарзлар"
"uz0950","0950","Deferred profit tax on temporary differences","asset_non_current","Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғи"
"uz0960","0960","Long-term deferred expenses on discounts","asset_non_current","Дисконт (чегирма)лар бўйича узоқ муддатли кечиктирилган харажатлар"
"uz0990","0990","Other long-term deferred expenses","asset_non_current","Бошқа узоқ муддатли кечиктирилган харажатлар"
"uz1010","1010","Raw materials and materials","asset_current","Хом ашё ва материаллар"
"uz1020","1020","Purchased semi-finished products and finishing products","asset_current","Сотиб олинган ярим тайёр маҳсулотлар ва бутловчи буюмлар"
"uz1030","1030","Fuels","asset_current","Ёқилғилар"
"uz1040","1040","Spare parts","asset_current","Эҳтиёт қисмлар"
"uz1050","1050","Construction materials","asset_current","Қурилиш материаллари"
"uz1060","1060","Tara","asset_current","Тара"
"uz1070","1070","Materials given for recycling","asset_current","Четга қайта ишлаш учун берилган материаллар"
"uz1080","1080","Inventory and household equipment","asset_current","Инвентарь ва хўжалик жиҳозлари"
"uz1090","1090","Other materials","asset_current","Бошқа материаллар"
"uz1110","1110","Farm animals","asset_current","Ўстиришдаги ҳайвонлар"
"uz1120","1120","Animals in the barn","asset_current","Бўрдоқидаги ҳайвонлар"
